Date,Clicks,Impressions,CTR,Position
2026-06-09,2,231,0.87%,11.4
2026-06-10,1,224,0.45%,9.3
2026-06-11,2,255,0.78%,9.4
2026-06-12,0,284,0%,10.1
2026-06-13,0,228,0%,10.5
2026-06-14,1,333,0.3%,9.7
2026-06-15,1,269,0.37%,10.7
2026-06-16,0,296,0%,10.6
2026-06-17,0,255,0%,10.3
2026-06-18,0,334,0%,11.4
2026-06-19,1,381,0.26%,9.8
2026-06-20,0,310,0%,9.1
2026-06-21,0,372,0%,9.2
2026-06-22,0,337,0%,10
2026-06-23,1,322,0.31%,10.1
2026-06-24,0,200,0%,10.9
2026-06-25,4,249,1.61%,9.6
2026-06-26,0,366,0%,9.9
2026-06-27,0,496,0%,9.4
2026-06-28,0,465,0%,8.6
2026-06-29,0,384,0%,9.7
2026-06-30,1,429,0.23%,9.4
2026-07-01,0,461,0%,9
2026-07-02,0,403,0%,9.6
2026-07-03,1,461,0.22%,8.3
2026-07-04,0,510,0%,8.7
2026-07-05,1,522,0.19%,8.8
2026-07-06,2,428,0.47%,9.4
2026-07-07,1,414,0.24%,8.7
2026-07-08,0,403,0%,8.7
2026-07-09,0,459,0%,9.7
2026-07-10,1,395,0.25%,8.9
2026-07-11,0,351,0%,9.6
2026-07-12,3,392,0.77%,9.3
2026-07-13,3,402,0.75%,9.3
2026-07-14,2,347,0.58%,10.4
2026-07-15,0,340,0%,9.6
2026-07-16,0,290,0%,9.3
2026-07-17,1,281,0.36%,9.4
2026-07-18,0,334,0%,8.6
2026-07-19,0,249,0%,8
2026-07-20,0,232,0%,9.6
2026-07-21,1,314,0.32%,8.8
2026-07-22,0,256,0%,9.6
2026-07-23,0,207,0%,9.3
2026-07-24,0,276,0%,9.6
2026-07-25,0,274,0%,8.6
2026-07-26,2,331,0.6%,9.1
2026-07-27,1,272,0.37%,9.8
2026-07-28,4,349,1.15%,9.9
2026-07-29,1,356,0.28%,10.1
2026-07-30,1,390,0.26%,9.1
2026-07-31,0,396,0%,9.6
2026-08-01,0,456,0%,11.5
2026-08-02,0,380,0%,8.8
2026-08-03,3,362,0.83%,9.3
2026-08-04,3,466,0.64%,7.9
2026-08-05,2,477,0.42%,9.5
2026-08-06,3,427,0.7%,9.2
2026-08-07,3,384,0.78%,8.2
2026-08-08,1,568,0.18%,7.9
2026-08-09,0,741,0%,8.2
2026-08-10,3,720,0.42%,8.2
2026-08-11,3,864,0.35%,8.7
2026-08-12,2,973,0.21%,8.2
2026-08-13,2,901,0.22%,8.2
2026-08-14,1,1021,0.1%,8.2
2026-08-15,2,908,0.22%,7.9
2026-08-16,2,987,0.2%,8.8
2026-08-17,2,790,0.25%,9.5
2026-08-18,3,798,0.38%,9.8
2026-08-19,4,732,0.55%,9.4
2026-08-20,0,386,0%,12.1
2026-08-21,1,343,0.29%,11.4
2026-08-22,4,449,0.89%,12
2026-08-23,3,364,0.82%,10.7
2026-08-24,2,348,0.57%,11.7
2026-08-25,1,356,0.28%,13.3
2026-08-26,1,377,0.27%,11.1
2026-08-27,2,329,0.61%,12.7
2026-08-28,3,398,0.75%,12.1
2026-08-29,2,336,0.6%,13.5
2026-08-30,2,404,0.5%,13.7
2026-08-31,0,442,0%,13.8
2026-09-01,0,494,0%,8.8
2026-09-02,1,384,0.26%,8.5
2026-09-03,0,470,0%,8.6
2026-09-04,0,408,0%,9
2026-09-05,1,428,0.23%,9.2
2026-09-06,0,429,0%,8.4
2026-09-07,5,381,1.31%,8.9
2026-09-08,0,461,0%,8.7
