Top pages,Clicks,Impressions,CTR,Position
https://firstownersreference.com/tools/running-cost-calculator,67,14212,0.47%,8.28
https://firstownersreference.com/02-reading-the-market,11,2845,0.39%,11.26
https://firstownersreference.com/06-refit,10,4154,0.24%,10.04
https://firstownersreference.com/,8,122,6.56%,13.34
https://firstownersreference.com/01-reality-of-ownership,6,14756,0.04%,7.33
https://firstownersreference.com/04-acquisition-process,2,804,0.25%,24.8
https://firstownersreference.com/03-how-the-industry-works,2,783,0.26%,17.41
https://firstownersreference.com/glossary,1,696,0.14%,39.11
https://firstownersreference.com/07-operations,1,589,0.17%,12.06
https://firstownersreference.com/05-new-build-versus-brokerage/qa/jack-inglis,1,4,25%,4.25
https://firstownersreference.com/tools/captain-and-crew-salary-2026,0,452,0%,8.06
https://firstownersreference.com/colophon,0,36,0%,4.14
https://firstownersreference.com/glossary/red-ensign-group,0,24,0%,38.08
https://firstownersreference.com/glossary/global-order-book,0,23,0%,7.83
https://firstownersreference.com/05-new-build-versus-brokerage/qa/hein-velema,0,6,0%,5.17
https://firstownersreference.com/09a-questions-to-ask-before-you-buy,0,6,0%,6.17
https://firstownersreference.com/07-operations/qa/ollie-davis,0,6,0%,7.67
https://firstownersreference.com/08-motor-versus-sail/checklist,0,5,0%,6.4
https://firstownersreference.com/08-motor-versus-sail/case,0,4,0%,4.25
https://firstownersreference.com/06-refit/checklist,0,3,0%,5.67
https://firstownersreference.com/04-acquisition-process/checklist,0,3,0%,10
https://firstownersreference.com/glossary/brokerage,0,3,0%,14.33
https://firstownersreference.com/glossary/yorr,0,2,0%,5
https://firstownersreference.com/09-decision-framework/checklist,0,2,0%,6
https://firstownersreference.com/03-how-the-industry-works/qa/pavlos-filippakis,0,2,0%,6.5
https://firstownersreference.com/07-operations/qa/pavlos-filippakis,0,2,0%,7.5
https://firstownersreference.com/glossary/class-society,0,2,0%,8
https://firstownersreference.com/glossary/eng1,0,2,0%,12
https://firstownersreference.com/01-reality-of-ownership/checklist,0,1,0%,3
https://firstownersreference.com/04-acquisition-process/qa/pavlos-filippakis,0,1,0%,4
https://firstownersreference.com/glossary/spv,0,1,0%,7
https://firstownersreference.com/glossary/eu-ets,0,1,0%,8
https://firstownersreference.com/glossary/sea-trial,0,1,0%,9
https://firstownersreference.com/glossary/polar-code,0,1,0%,39
