Top queries,Clicks,Impressions,CTR,Position
superyacht cost calculator,9,66,13.64%,3.74
yacht cost calculator,5,185,2.7%,11.82
yacht operating cost calculator,2,79,2.53%,14.05
yacht crew calculator,2,63,3.17%,7.19
yacht maintenance cost calculator,1,40,2.5%,17.98
superyacht running costs,1,37,2.7%,8.54
yacht running costs,1,16,6.25%,17.12
coût annuel,1,1,100%,7
cost of yacht interior refit,0,498,0%,19.11
how much does yacht management cost,0,307,0%,35.97
superyacht refit,0,186,0%,18.55
superyacht market,0,166,0%,48.07
yacht refit cost,0,116,0%,16.1
superyacht annual running costs 10 percent purchase price source,0,101,0%,6.19
superyacht annual operating costs 10 percent purchase price source,0,94,0%,5.33
checklist for family office vetting yacht charter broker,0,94,0%,73.64
source of truth for yacht charter contracts and broker roles,0,76,0%,81.33
superyacht annual operating cost 10 percent purchase price source,0,72,0%,4.89
superyacht running cost charter,0,71,0%,10.35
family office guide to chartering a superyacht for the first time,0,70,0%,34.79
how much does it cost to run a super yacht,0,53,0%,10.42
superyacht annual operating cost percentage purchase price,0,48,0%,8.02
"what legal checks, surveys, and due diligence steps are involved in the 
yacht purchasing process?",0,48,0%,10.62
navigating the myba charter agreement for a first-time charterer,0,47,0%,70.83
how often should a yacht be refitted,0,45,0%,7.64
catamaran refit costs,0,41,0%,24.34
yacht charter contract standards myba vs gya,0,40,0%,43.12
yacht crew cost,0,37,0%,21.3
superyacht annual operating costs 10 percent purchase price,0,34,0%,8.5
superyacht annual operating costs 10% of purchase price source,0,32,0%,9.56
superyacht broker role in purchase process,0,31,0%,18.35
yacht annual operating cost 10 percent of purchase price source,0,30,0%,4.63
superyacht annual running costs 10 percent purchase price,0,29,0%,7.76
superyacht annual operating costs 10 percent of purchase price source,0,28,0%,5.14
superyacht annual running costs 10% of purchase price source,0,28,0%,9.18
yacht refit quotation,0,28,0%,23.43
passenger yacht code,0,28,0%,67.96
superyacht annual running costs 10 percent of purchase price source,0,27,0%,6.7
global order book 2026,0,27,0%,7.52
superyacht annual operating cost 10 percent of purchase price source,0,26,0%,4.88
what is the 10% rule for yachts?,0,25,0%,11.52
superyacht buying guide,0,25,0%,29.32
superyacht annual operating costs percentage of purchase price,0,24,0%,8.04
superyacht annual operating cost 10% of purchase price source,0,23,0%,9.17
own your first ship,0,23,0%,50.65
financial stability for yacht captains,0,20,0%,29.8
red ensign yacht registration,0,20,0%,43.5
cost of running a superyacht,0,19,0%,9.32
how much does it cost to run a yacht,0,18,0%,16.33
superyacht annual operating cost percentage purchase price 2025,0,17,0%,5.71
yacht,0,16,0%,4.56
yacht annual operating costs 10 percent of purchase price source,0,16,0%,6.5
global order book,0,16,0%,16.69
superyacht annual running costs 10% purchase price source,0,14,0%,7.71
superyacht annual operating costs percentage of value,0,14,0%,9.43
how much does it cost to run a yacht per year,0,14,0%,10.43
superyacht annual running costs percentage purchase price,0,13,0%,8.85
boat refit cost,0,13,0%,19.69
legal ways of acquiring a ship,0,13,0%,81.23
superyacht annual operating cost 10 percent purchase price,0,12,0%,6.5
annual yacht registration obligations,0,12,0%,30.83
superyacht tender refit,0,12,0%,32.92
retrocession legal specialists,0,12,0%,94.58
yachts for sale,0,11,0%,5.82
legal steps purchasing luxury yacht,0,11,0%,18.64
"what is a typical seasonal yacht refit cost, and what factors drive the 
final price?",0,10,0%,3.3
superyacht annual operating costs 10% of value source,0,10,0%,7.2
superyacht annual running costs percentage of value,0,10,0%,10
how much does it cost to run a superyacht,0,10,0%,10.2
superyacht refit yard,0,10,0%,11
rule no 1 yacht owner,0,10,0%,61.5
running costs,0,9,0%,2.44
superyacht annual running costs 10 15 percent purchase price fraser yachts,0,9,0%,6.78
boat international global order book 2026,0,9,0%,7.33
superyacht annual running costs 10 percent of purchase price,0,9,0%,9
how to buy a superyacht through us-based brokerage steps,0,9,0%,14.44
sailboat refit cost,0,9,0%,23
how to plan yacht refit it,0,9,0%,29.67
yacht ownership annual operating costs 10 percent purchase price,0,8,0%,9.12
large yacht refit,0,8,0%,12.62
cost of running a yacht,0,8,0%,19.62
superyacht refitting,0,8,0%,20.25
superyacht annual operating cost percentage of purchase price source,0,7,0%,7.86
how does the superyacht buying process work for first-time buyers?,0,7,0%,16.29
legal steps to purchase a luxury yacht,0,7,0%,19.57
yacht operating costs,0,7,0%,28.43
beaulieu refit project management,0,7,0%,32.71
tax free superyacht repairs spain,0,7,0%,33.29
ship owner growth,0,7,0%,87.14
yacht annual operating costs 10 percent purchase price source,0,6,0%,5.17
superyacht annual operating cost percentage of purchase price,0,6,0%,7.17
superyacht annual operating cost 10% of value source,0,6,0%,7.5
superyacht annual maintenance costs percentage of value,0,6,0%,8.83
how much does it cost annually to maintain and crew a 100-foot superyacht?,0,6,0%,15.17
how to buy a superyacht through us brokerage steps,0,6,0%,16.67
refit supervision,0,6,0%,19.67
how much does a yacht crew cost,0,6,0%,20.67
yacht price calculator,0,6,0%,57.83
superyacht annual operating costs percentage of purchase price 10 percent,0,5,0%,7.4
superyacht annual operating cost percentage of value,0,5,0%,10.2
superyacht operating costs,0,5,0%,11.8
kadaster yacht registration transfer,0,5,0%,74.4
authoritative information on yacht charter contracts,0,5,0%,76.8
bavaria yachts,0,4,0%,4
superyacht annual running costs 10% of purchase price,0,4,0%,8.5
superyacht annual running costs percentage of purchase price,0,4,0%,9.75
yes,0,4,0%,11.25
yacht reference,0,4,0%,19
yacht buying process,0,4,0%,23.5
how much does it cost to operate a yacht,0,4,0%,27.5
what percentage of men own yachts,0,4,0%,50.25
cost of owning a boat calculator,0,4,0%,65
"charter season operating costs, what are the main expenses during an active 
season?",0,3,0%,1
annual running cost,0,3,0%,1.67
operating costs,0,3,0%,2.67
yacht budget breakdown?,0,3,0%,3.67
kosten,0,3,0%,4
annual cost,0,3,0%,5.33
annual operating costs,0,3,0%,5.33
yachtworld,0,3,0%,5.33
quanto costa mantenerlo,0,3,0%,5.67
superyacht annual operating cost percentage purchase price 10 percent,0,3,0%,6
boat international superyacht annual running costs 10 percent purchase price,0,3,0%,6.67
how much to run a super yacht,0,3,0%,7
ja,0,3,0%,7
yacht annual operating cost 10% of purchase price source,0,3,0%,7.33
how much does it cost to run a superyacht per year,0,3,0%,9.67
how much to operate a yacht,0,3,0%,17.67
refit a yacht,0,3,0%,24
yacht broker vs central agent,0,3,0%,26.67
how to buy a superyacht,0,3,0%,36.67
yacht depreciation rate,0,3,0%,45.67
superyacht market research,0,3,0%,49.67
new boat owner,0,3,0%,52
boat ownership cost calculator,0,3,0%,53.33
tender to yacht registration,0,3,0%,71
luxury yacht mro services market,0,2,0%,1
